# Expression Atlas			
"# Query: Genes matching: 'default query', specifically up/down differentially expressed in 1 comparisons  given the adjusted p-value cutoff 1 and log2-fold change cutoff 0 in experiment E-MTAB-7453"			
"# Timestamp: Tue, 18-Feb-2020 06:12:59"			
Gene ID	Gene Name	'PLX4720; 1 micromolar' vs 'none' .foldChange	'PLX4720; 1 micromolar' vs 'none'.pValue
ENSG00000000003	TSPAN6	-1	0.018213774
ENSG00000000419	DPM1	-1.6	2.50E-04
ENSG00000000457	SCYL3	0.3	0.434803424
ENSG00000000460	C1orf112	-3.1	1.74E-15
ENSG00000000971	CFH	1.7	0.003803351
ENSG00000001036	FUCA2	-1.1	0.014190282
ENSG00000001084	GCLC	-0.6	0.144339336
ENSG00000001167	NFYA	-1.2	6.35E-05
ENSG00000001460	STPG1	-0.1	0.822614268
ENSG00000001461	NIPAL3	0.4	0.300478338
ENSG00000001497	LAS1L	-0.9	0.024055375
ENSG00000001561	ENPP4	0.7	0.160344854
ENSG00000001617	SEMA3F	-0.4	0.734592487
ENSG00000001629	ANKIB1	-0.4	0.355852894
ENSG00000002016	RAD52	0.7	0.055577569
ENSG00000002079	MYH16	0.3	0.775684277
ENSG00000002330	BAD	1.6	0.020239686
ENSG00000002549	LAP3	-0.1	0.768913372
ENSG00000002586	CD99	-0.1	0.855922454
ENSG00000002587	HS3ST1	-2.4	6.24E-06
ENSG00000002745	WNT16	0.9	0.179556032
ENSG00000002746	HECW1	1.8	1.62E-05
ENSG00000002822	MAD1L1	-0.6	0.359451682
ENSG00000002834	LASP1	-1.7	3.79E-06
ENSG00000002919	SNX11	-0.5	0.141514578
ENSG00000003056	M6PR	-0.5	0.107760794
ENSG00000003096	KLHL13	0.2	0.727288189
ENSG00000003137	CYP26B1	1.9	1.03E-04
ENSG00000003147	ICA1	3.3	3.31E-20
ENSG00000003249	DBNDD1	1.7	0.024865706
ENSG00000003393	ALS2	-0.1	0.731367342
ENSG00000003400	CASP10	0.8	0.051485271
ENSG00000003402	CFLAR	1.3	1.39E-04
ENSG00000003436	TFPI	1	0.056146184
ENSG00000003509	NDUFAF7	-0.3	0.451969014
ENSG00000003756	RBM5	0.9	0.0018546
ENSG00000003987	MTMR7	-2	0.004261027
ENSG00000003989	SLC7A2	-2.1	3.16E-07
ENSG00000004059	ARF5	0.4	0.459895318
ENSG00000004139	SARM1	0.5	0.326229624
ENSG00000004142	POLDIP2	-0.3	0.49640694
ENSG00000004399	PLXND1	0.3	0.752357243
ENSG00000004455	AK2	-1.3	1.08E-05
ENSG00000004468	CD38	1.5	0.222307061
ENSG00000004478	FKBP4	-1.8	8.72E-09
ENSG00000004487	KDM1A	-0.8	9.09E-04
ENSG00000004534	RBM6	0.2	0.50283927
ENSG00000004660	CAMKK1	-1.7	0.016669214
ENSG00000004700	RECQL	-0.7	0.114751479
ENSG00000004766	VPS50	-0.2	0.779592362
ENSG00000004777	ARHGAP33	0.4	0.650497568
ENSG00000004779	NDUFAB1	-2	6.32E-06
ENSG00000004799	PDK4	0.4	0.426227253
ENSG00000004809	SLC22A16	2.6	0.035273039
ENSG00000004838	ZMYND10	1.2	0.10903494
ENSG00000004864	SLC25A13	-0.9	0.01046919
ENSG00000004866	ST7	-1	6.52E-04
ENSG00000004897	CDC27	-1.4	3.60E-04
ENSG00000004961	HCCS	-0.9	0.009621192
ENSG00000004975	DVL2	1.3	0.059095029
ENSG00000005007	UPF1	0.1	0.911298158
ENSG00000005020	SKAP2	0.4	0.435108883
ENSG00000005022	SLC25A5	-0.9	0.015356792
ENSG00000005059	MCUB	-2.1	1.17E-07
ENSG00000005073	HOXA11	-0.1	0.900499911
ENSG00000005075	POLR2J	0.1	0.945603272
ENSG00000005100	DHX33	-1.1	1.61E-05
ENSG00000005102	MEOX1	-3.5	0.006760416
ENSG00000005108	THSD7A	1.6	0.037618103
ENSG00000005156	LIG3	-1.2	5.74E-04
ENSG00000005175	RPAP3	-1.8	5.67E-06
ENSG00000005187	ACSM3	2.9	0.001326801
ENSG00000005189	REXO5	-1.7	4.05E-07
ENSG00000005194	CIAPIN1	-0.6	0.065985468
ENSG00000005206	SPPL2B	1.8	0.010167284
ENSG00000005238	FAM214B	-0.1	0.835879868
ENSG00000005243	COPZ2	1.8	8.87E-09
ENSG00000005249	PRKAR2B	-2.2	1.37E-11
ENSG00000005302	MSL3	-0.5	0.161572165
ENSG00000005339	CREBBP	0.5	0.138975909
ENSG00000005421	PON1	0.9	0.584957294
ENSG00000005436	GCFC2	-0.8	0.091193955
ENSG00000005448	WDR54	0.3	0.646153167
ENSG00000005469	CROT	-0.5	0.296724685
ENSG00000005471	ABCB4	4.1	1.42E-12
ENSG00000005483	KMT2E	0.6	0.108566606
ENSG00000005486	RHBDD2	0.8	0.102772395
ENSG00000005513	SOX8	-2	0.159392895
ENSG00000005700	IBTK	-1.2	0.003256436
ENSG00000005801	ZNF195	-0.4	0.30127732
ENSG00000005810	MYCBP2	-0.6	0.142825737
ENSG00000005812	FBXL3	-0.7	0.20463852
ENSG00000005882	PDK2	1.2	0.049318003
ENSG00000005884	ITGA3	-0.8	0.265564467
ENSG00000005889	ZFX	-0.3	0.457256795
ENSG00000005893	LAMP2	0.2	0.687334787
ENSG00000005961	ITGA2B	1.1	0.458176465
ENSG00000006007	GDE1	0.1	0.706144233
ENSG00000006015	REX1BD	-0.4	0.669821688
ENSG00000006016	CRLF1	0.2	0.862431509
ENSG00000006025	OSBPL7	2	0.004835042
ENSG00000006042	TMEM98	-1.4	9.97E-06
ENSG00000006062	MAP3K14	-0.8	0.388462957
ENSG00000006118	TMEM132A	1.9	0.003299707
ENSG00000006125	AP2B1	-0.2	0.514420088
ENSG00000006194	ZNF263	0.1	0.897634583
ENSG00000006210	CX3CL1	-1.7	0.156651784
ENSG00000006282	SPATA20	1.2	0.119458866
ENSG00000006327	TNFRSF12A	-1.2	0.04738146
ENSG00000006377	DLX6	1	0.075113471
ENSG00000006432	MAP3K9	-2.1	3.02E-11
ENSG00000006451	RALA	-1.2	0.002534511
ENSG00000006453	BAIAP2L1	-2.8	1.44E-21
ENSG00000006459	KDM7A	0.5	0.168809371
ENSG00000006468	ETV1	-1	0.011909725
ENSG00000006530	AGK	-0.7	0.023665599
ENSG00000006534	ALDH3B1	2.1	8.60E-06
ENSG00000006576	PHTF2	-1.4	8.18E-04
ENSG00000006606	CCL26	0.4	0.812835898
ENSG00000006625	GGCT	-2	7.78E-08
ENSG00000006634	DBF4	-2.2	1.27E-06
ENSG00000006638	TBXA2R	-0.9	0.398271093
ENSG00000006695	COX10	-1.1	1.30E-04
ENSG00000006704	GTF2IRD1	0.1	0.879539568
ENSG00000006712	PAF1	-0.3	0.462903709
ENSG00000006715	VPS41	0.7	0.067687144
ENSG00000006740	ARHGAP44	-0.1	0.770796175
ENSG00000006744	ELAC2	-0.7	0.097701979
ENSG00000006747	SCIN	2.1	0.00353425
ENSG00000006756	ARSD	1.9	9.89E-07
ENSG00000006788	MYH13	-1	0.006570153
ENSG00000006831	ADIPOR2	-0.3	0.280705993
ENSG00000006837	CDKL3	1	0.045106598
ENSG00000007047	MARK4	1.2	0.015732685
ENSG00000007062	PROM1	-1.4	0.122803748
ENSG00000007080	CCDC124	-0.1	0.923707683
ENSG00000007168	PAFAH1B1	-0.8	0.015318175
ENSG00000007171	NOS2	-2.8	0.02809162
ENSG00000007174	DNAH9	2	3.44E-05
ENSG00000007202	KIAA0100	-0.1	0.888296242
ENSG00000007237	GAS7	2.1	1.08E-11
ENSG00000007255	TRAPPC6A	3.1	2.96E-04
ENSG00000007341	ST7L	-0.6	0.152097197
ENSG00000007350	TKTL1	-0.3	0.848974998
ENSG00000007376	RPUSD1	0.2	0.899406798
ENSG00000007384	RHBDF1	1.9	8.77E-04
ENSG00000007392	LUC7L	0.6	0.034529564
ENSG00000007402	CACNA2D2	2.5	1.95E-05
ENSG00000007516	BAIAP3	2.8	0.015732685
ENSG00000007520	TSR3	0.3	0.805083452
ENSG00000007541	PIGQ	1.1	0.193214469
ENSG00000007545	CRAMP1	-0.3	0.498343098
ENSG00000007866	TEAD3	0.8	0.252020569
ENSG00000007923	DNAJC11	-0.7	0.115487238
ENSG00000007944	MYLIP	1	0.002116404
ENSG00000007952	NOX1	-1.4	0.045912874
ENSG00000007968	E2F2	-6.9	3.74E-23
ENSG00000008018	PSMB1	-1.3	9.18E-05
ENSG00000008056	SYN1	2	0.00936702
ENSG00000008083	JARID2	-0.1	0.820468059
ENSG00000008086	CDKL5	2.2	9.71E-12
ENSG00000008118	CAMK1G	2.8	0.041929018
ENSG00000008128	CDK11A	0.8	0.46866318
ENSG00000008130	NADK	-0.1	0.926065713
ENSG00000008196	TFAP2B	2.2	1.52E-10
ENSG00000008226	DLEC1	3.4	2.39E-05
ENSG00000008256	CYTH3	-0.3	0.513935757
ENSG00000008277	ADAM22	0.2	0.62769421
ENSG00000008282	SYPL1	-1	0.021631762
ENSG00000008283	CYB561	-0.5	0.179313566
ENSG00000008294	SPAG9	0.5	0.238392148
ENSG00000008300	CELSR3	1.8	7.33E-04
ENSG00000008311	AASS	1	8.47E-04
ENSG00000008323	PLEKHG6	0.3	0.753003977
ENSG00000008324	SS18L2	-1.6	1.57E-04
ENSG00000008382	MPND	1.1	0.314932584
ENSG00000008394	MGST1	-2.6	1.16E-11
ENSG00000008405	CRY1	-1.3	8.33E-04
ENSG00000008438	PGLYRP1	1.6	0.233903915
ENSG00000008441	NFIX	1.1	0.001428537
ENSG00000008513	ST3GAL1	-0.4	0.462385963
ENSG00000008516	MMP25	2.4	9.95E-04
ENSG00000008517	IL32	1.8	0.14037596
ENSG00000008710	PKD1	0.5	0.775253844
ENSG00000008735	MAPK8IP2	2	0.125324988
ENSG00000008838	MED24	0.6	0.33083947
ENSG00000008853	RHOBTB2	-0.1	0.853099297
ENSG00000008869	HEATR5B	0.3	0.439989975
ENSG00000008952	SEC62	-0.5	0.249725395
ENSG00000008988	RPS20	-0.2	0.708298176
ENSG00000009307	CSDE1	-0.5	0.213397468
ENSG00000009335	UBE3C	-1	1.45E-04
ENSG00000009413	REV3L	-0.6	0.141110843
ENSG00000009694	TENM1	1.6	0.002210221
ENSG00000009724	MASP2	2.4	3.18E-07
ENSG00000009780	FAM76A	-0.6	0.165133244
ENSG00000009790	TRAF3IP3	-0.6	0.620594135
ENSG00000009830	POMT2	0.7	0.096129741
ENSG00000009844	VTA1	-1.1	0.004414989
ENSG00000009950	MLXIPL	2.5	0.059813711
ENSG00000009954	BAZ1B	-1.1	5.60E-05
ENSG00000010017	RANBP9	-0.7	0.083863447
ENSG00000010030	ETV7	1.3	0.35894411
